problem_id,generated_model_id,model_label,full_strategy_ids,run1_strategy_ids,run2_strategy_ids,full_count,run1_count,run2_count,union_full_run1_strategy_ids,union_full_run1_count,union_all_three_strategy_ids,union_all_three_count,new_in_run1_vs_full,new_in_run1_vs_full_count,new_in_run2_vs_full,new_in_run2_vs_full_count,new_in_run2_vs_full_run1_union,new_in_run2_vs_full_run1_union_count,only_in_full_not_reruns,only_in_full_not_reruns_count
2016AMC12A19,claude-opus-4-6,Claude,n2|s2,n2,n2|s2,2,1,2,n2|s2,2,n2|s2,2,,0,,0,,0,,0
2016AMC12A19,deepseek-reasoner,DeepSeek,n1|n2|s2,n1|n2|s2,n1|n2,3,3,2,n1|n2|s2,3,n1|n2|s2,3,,0,,0,,0,,0
2016AMC12A19,gemini-3.1-pro-preview,Gemini,n1|n3|s2|s3,n1|n2|s2,n1|n2|n3|s2,4,3,4,n1|n2|n3|s2|s3,5,n1|n2|n3|s2|s3,5,n2,1,n2,1,,0,s3,1
2016AMC12A19,gpt-5.4,GPT,n1|n2|s2,n1|n2|s2,n1|n2|s2,3,3,3,n1|n2|s2,3,n1|n2|s2,3,,0,,0,,0,,0
2017AIMEII14,claude-opus-4-6,Claude,s1|s3,,,2,0,0,s1|s3,2,s1|s3,2,,0,,0,,0,s1|s3,2
2017AIMEII14,deepseek-reasoner,DeepSeek,s1,s1|s3,s1,1,2,1,s1|s3,2,s1|s3,2,s3,1,,0,,0,,0
2017AIMEII14,gemini-3.1-pro-preview,Gemini,s3,s1|s3,s1|s3,1,2,2,s1|s3,2,s1|s3,2,s1,1,s1,1,,0,,0
2017AIMEII14,gpt-5.4,GPT,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2017AMC10B25,claude-opus-4-6,Claude,s2,s2,s2|s4,1,1,2,s2,1,s2|s4,2,,0,s4,1,s4,1,,0
2017AMC10B25,deepseek-reasoner,DeepSeek,s1|s2|s4,s4,s1|s2,3,1,2,s1|s2|s4,3,s1|s2|s4,3,,0,,0,,0,,0
2017AMC10B25,gemini-3.1-pro-preview,Gemini,s1|s2|s3,s1|s2|s3,s1|s2|s3,3,3,3,s1|s2|s3,3,s1|s2|s3,3,,0,,0,,0,,0
2017AMC10B25,gpt-5.4,GPT,s2|s3,s1|s2,s2|s3,2,2,2,s1|s2|s3,3,s1|s2|s3,3,s1,1,,0,,0,,0
2017AMC12A15,claude-opus-4-6,Claude,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2017AMC12A15,deepseek-reasoner,DeepSeek,s1,s1,n1|s1,1,1,2,s1,1,n1|s1,2,,0,n1,1,n1,1,,0
2017AMC12A15,gemini-3.1-pro-preview,Gemini,n2|s1,n1|n2|s1,n1|n2|s1,2,3,3,n1|n2|s1,3,n1|n2|s1,3,n1,1,n1,1,,0,,0
2017AMC12A15,gpt-5.4,GPT,n1|s1,n1|s1,n1|s1,2,2,2,n1|s1,2,n1|s1,2,,0,,0,,0,,0
2018AMC10A18,claude-opus-4-6,Claude,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC10A18,deepseek-reasoner,DeepSeek,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC10A18,gemini-3.1-pro-preview,Gemini,s1|s2|s3,s2|s3,s1|s2|s3,3,2,3,s1|s2|s3,3,s1|s2|s3,3,,0,,0,,0,,0
2018AMC10A18,gpt-5.4,GPT,s1,s1|s2|s3,s1,1,3,1,s1|s2|s3,3,s1|s2|s3,3,s2|s3,2,,0,,0,,0
2018AMC12A14,claude-opus-4-6,Claude,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC12A14,deepseek-reasoner,DeepSeek,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC12A14,gemini-3.1-pro-preview,Gemini,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC12A14,gpt-5.4,GPT,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC12B21,claude-opus-4-6,Claude,s1,s1,,1,1,0,s1,1,s1,1,,0,,0,,0,,0
2018AMC12B21,deepseek-reasoner,DeepSeek,n1|s1|s2,s1|s2,n1|s1,3,2,2,n1|s1|s2,3,n1|s1|s2,3,,0,,0,,0,,0
2018AMC12B21,gemini-3.1-pro-preview,Gemini,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2018AMC12B21,gpt-5.4,GPT,n1|s1,n1|s1,n1|s1,2,2,2,n1|s1,2,n1|s1,2,,0,,0,,0,,0
2019AMC10A17,claude-opus-4-6,Claude,s2,s2,s2,1,1,1,s2,1,s2,1,,0,,0,,0,,0
2019AMC10A17,deepseek-reasoner,DeepSeek,s2,s1|s2,s1|s2,1,2,2,s1|s2,2,s1|s2,2,s1,1,s1,1,,0,,0
2019AMC10A17,gemini-3.1-pro-preview,Gemini,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2019AMC10A17,gpt-5.4,GPT,s2,s2,s2,1,1,1,s2,1,s2,1,,0,,0,,0,,0
2019AMC10B16,claude-opus-4-6,Claude,s2,,s2,1,0,1,s2,1,s2,1,,0,,0,,0,,0
2019AMC10B16,deepseek-reasoner,DeepSeek,s2,s1|s2,s1|s2,1,2,2,s1|s2,2,s1|s2,2,s1,1,s1,1,,0,,0
2019AMC10B16,gemini-3.1-pro-preview,Gemini,n1|s1|s2,n2|n3|s2,n3|s2,3,3,2,n1|n2|n3|s1|s2,5,n1|n2|n3|s1|s2,5,n2|n3,2,n3,1,,0,n1|s1,2
2019AMC10B16,gpt-5.4,GPT,s2,s1|s2,n3|s1|s2,1,2,3,s1|s2,2,n3|s1|s2,3,s1,1,n3|s1,2,n3,1,,0
2020AMC10A22,claude-opus-4-6,Claude,,,s2,0,0,1,,0,s2,1,,0,s2,1,s2,1,,0
2020AMC10A22,deepseek-reasoner,DeepSeek,s2,s2,s2,1,1,1,s2,1,s2,1,,0,,0,,0,,0
2020AMC10A22,gemini-3.1-pro-preview,Gemini,s2,s2,s2,1,1,1,s2,1,s2,1,,0,,0,,0,,0
2020AMC10A22,gpt-5.4,GPT,s2,s2,s2,1,1,1,s2,1,s2,1,,0,,0,,0,,0
2020AMC10B18,claude-opus-4-6,Claude,n1|s2,n1|s4,n1,2,2,1,n1|s2|s4,3,n1|s2|s4,3,s4,1,,0,,0,s2,1
2020AMC10B18,deepseek-reasoner,DeepSeek,n1|s2,n1|s2|s4,n1|s2|s4,2,3,3,n1|s2|s4,3,n1|s2|s4,3,s4,1,s4,1,,0,,0
2020AMC10B18,gemini-3.1-pro-preview,Gemini,n1|s2|s4,n1|s2|s4,n1|s2|s4,3,3,3,n1|s2|s4,3,n1|s2|s4,3,,0,,0,,0,,0
2020AMC10B18,gpt-5.4,GPT,n1|s2|s4,n1|s2|s4,n1|s2|s4,3,3,3,n1|s2|s4,3,n1|s2|s4,3,,0,,0,,0,,0
2021AMC12B17,claude-opus-4-6,Claude,s1|s2,s1|s2,s1,2,2,1,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2021AMC12B17,deepseek-reasoner,DeepSeek,s1|s2,s1|s2,s1,2,2,1,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2021AMC12B17,gemini-3.1-pro-preview,Gemini,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2021AMC12B17,gpt-5.4,GPT,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2021AMC12B21,claude-opus-4-6,Claude,s1|s2,s1|s2|s4,s4,2,3,1,s1|s2|s4,3,s1|s2|s4,3,s4,1,s4,1,,0,,0
